Restframe [A],Line Name,Flux [erg/s/cm^2],Upper,Lower
51286.5,Hu delta 51277,3.608834686171155e-16,8.537939290948136e-17,6.819699109872897e-17
59082.2,Hu gamma 59071,5.118660813959705e-16,1.2230113897655092e-16,9.770008182095452e-17
69852.74,[ArII]7m,5.933190174086637e-15,2.0944548647034584e-15,1.373667171274769e-15
74599.0,Pf alpha 74585,3.233781274316553e-15,7.945041358487337e-16,6.265627900398808e-16
75024.4,Hu beta 75011,7.813346838211076e-16,1.8947416476827215e-16,1.50910615493985e-16
89913.8,[ArIII]9m,2.432822953384598e-14,6.562917989780428e-15,5.156094807457313e-15
105105.0,[SIV]10.5m,4.436804233380016e-15,2.218841993378535e-15,1.741420359803072e-15
123719.12,Hu alpha 12.4m,1.3315077470462401e-15,3.3140160647904786e-16,2.600332909665406e-16
128135.48,[NeII]12.8m,4.671488669629906e-14,1.518609057168359e-14,1.0378898249367185e-14
143678.0,[ClII] 14.4m,5.746151391852358e-16,1.60157481655849e-16,1.1507828982127991e-16
155551.0,[NeIII]15.5m,5.5506880017185766e-14,1.3267769050871141e-14,1.2619640895948485e-14
187130.0,[SIII]18.7m,9.847818562214914e-14,3.1556910576492766e-14,2.3991793461957167e-14
218302.0,[ArIII]22m,1.6490718910140876e-15,4.366507772328731e-16,3.424141637487828e-16
328709.0,[PII] 32m,8.356843580231546e-16,2.398957797577201e-16,1.631798952786475e-16
334800.0,[SIII]33.5m,1.986127217489722e-13,6.427099976161483e-14,4.868254346703373e-14
348140.0,[SiII]35m,1.949099056277501e-14,5.983046866762015e-15,4.270527876220861e-15
360135.0,[NeIII]36m,4.8804353765837764e-15,1.156491079232465e-15,1.0991880877531837e-15
518145.0,[OIII]52m,8.691078811385922e-14,3.154141806512954e-14,2.713244801080215e-14
573300.0,[NIII]57m,2.7866384749677976e-14,1.3560766228946458e-14,9.799745900488685e-15
606420.0,[PII] 60m,8.6244357436175435e-16,2.368160267942451e-16,1.6283749318778313e-16
631852.0,[OI]63m,2.9160175885428402e-15,5.390270716512501e-16,4.554547514722577e-16
883564.0,[OIII]88m,9.914684014554563e-14,3.303820471753479e-14,3.0107153681816304e-14
1218000.0,[NII]122m,8.171067480863702e-15,3.4811275727852883e-15,2.338164808675e-15
1455350.0,[OI]145m,2.879011006084043e-16,5.373406647833524e-17,4.466253581315265e-17
1576429.62,[CII]157.7m,8.633503207849637e-15,2.334043411548252e-15,1.6225580812207737e-15
2053000.0,[NII]205m,2.6326287051726767e-15,1.0152969307040776e-15,7.102903317753294e-16
3703700.0,[CI]369m,5.98408301533037e-19,1.969334681476262e-19,1.4117148781022953e-19
6097000.0,[CI]610m,7.099360193599543e-20,2.3522733122291492e-20,1.680182266429536e-20
